label,x,y,value,color
Communication,1.8,3.8,6,#7cb5ec
News,3.05,0.4,6,#7cb5ec
Streaming Music,-2.6,3.8,6,#7cb5ec
Social Games ,-1.2,2.9,6,#7cb5ec
Dating,-3,1.7,6,#7cb5ec
Social Networking,-0.3,0.3,6,#7cb5ec
Photo & Video,-2.8,-0.8,6,#7cb5ec
Medical,-1.5,-1.2,6,#7cb5ec
Music,-3,-2.5,6,#7cb5ec
Personalization,-2.5,-2.8,6,#7cb5ec
Retail,-0.4,-3.2,6,#7cb5ec
Education,-0.8,-2.7,6,#7cb5ec
Enteraiment,-0.3,-1.8,6,#7cb5ec
Health & Fitness,-1,-2.2,6,#7cb5ec
Banking,0.3,-1.3,6,#7cb5ec
Productivit,0.1,-0.3,6,#7cb5ec
Navigation,0.8,-1,6,#7cb5ec
Books,0.9,-1.9,6,#7cb5ec
Reference,3.6,-1.6,6,#7cb5ec
Utility,1.5,-1.9,6,#7cb5ec
Travel,2,-2.3,6,#7cb5ec
Business,0,-2.7,6,#7cb5ec
Food&Drink,0.8,-3,6,#7cb5ec
Single Games,1.6,-1.3,6,#7cb5ec
Weather,4,-2.2,6,#7cb5ec
Sports ,3.3,-0.3,6,#7cb5ec
